RowNumber,CustomerId,Surname,credit_score,Geography,Gender,Age,loan_age_years,outstanding_loan_balance,num_bank_products,has_credit_card,online_banking_active,annual_income,churned,monthly_income,estimated_property_value,ltv_ratio,payment_to_income_ratio,risk_score,balance_per_product
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,6365.8341666666665,267365.035,0.0,0.0,0.25672727272727275,0.0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,2188.415,91913.43,0.0,0.0,0.272,0.0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,15904.815833333334,668002.265,0.0,0.0,0.21890909090909091,0.0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,5495.970833333333,230830.77499999997,0.0,0.0,0.15636363636363637,0.0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,5360.6050000000005,225145.41,0.6357198665520207,0.11125097664660363,0.3942730711414055,71564.705
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,424.80583333333334,17841.845,1.5,1.3006224412329557,0.9834594596426138,132602.88
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,1200.5341666666666,50422.435,0.0,0.0,0.21890909090909091,0.0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,13223.734166666667,555396.835,0.0,0.0,0.1912727272727273,0.0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,4560.3358333333335,191534.10499999998,0.0,0.0,0.0901818181818182,0.0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,14240.514166666668,598101.5950000001,0.0,0.0,0.08581818181818182,0.0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,11546.288333333332,484944.11,0.0,0.0,0.15563636363636366,0.0
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,9909.460833333333,416197.355,0.0,0.0,0.24727272727272728,0.0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,707.3125,29707.125,0.0,0.0,0.13163636363636363,0.0
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,15634.68,656656.56,0.0,0.0,0.0029090909090909093,0.0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,10375.690833333332,435779.01499999996,0.0,0.0,0.19854545454545455,0.0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,14170.1625,595146.8250000001,0.22988552446700863,0.040229966781726516,0.1493982837382569,136815.64
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,3202.7791666666667,134516.725,0.0,0.0,0.20290909090909093,0.0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,8348.9525,350656.005,0.4030999839857298,0.07054249719750273,0.3428200170822425,141349.43
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,4456.934166666667,187191.235,0.31891007076266153,0.055809262383465764,0.4316885272165655,29848.585
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,11705.781666666668,491642.83,0.0,0.0,0.18836363636363637,0.0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,13060.9925,548561.685,0.15551888207431036,0.027215804363004317,0.28536586047664897,85311.7
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,6824.900833333333,286645.83499999996,0.38414142664937034,0.06722474966363981,0.3514098528939031,55056.27
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,2867.5458333333336,120436.92500000002,0.0,0.0,0.24,0.0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,11836.089166666667,497115.745,0.0,0.0,0.0930909090909091,0.0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,2318.5825,97380.46500000001,1.3787574335365926,0.24128255086890377,0.7587392680489217,134264.04
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,9505.564166666667,399233.695,0.3638476206273121,0.06367333360977961,0.39007446808930935,145260.23
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,8204.454166666666,344587.075,0.2221458828657459,0.03887552950150554,0.11176096916472088,76548.6
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,3401.0750000000003,142845.15,0.0,0.0,0.0,0.0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,14839.503333333334,623259.14,0.11287356331429009,0.019752873580000767,0.23469702197737816,35174.74
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,5846.185,245539.77000000002,0.0,0.0,0.27490909090909094,0.0
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,15108.137499999999,634541.775,0.1930878703770134,0.03379037731597735,0.3480634743078972,122522.32
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,7846.1525,329538.405,0.3563146152874048,0.06235505767529585,0.33941908370699203,117419.35
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,16197.146666666667,680280.16,0.1931477172581367,0.033800850520173925,0.07972093396985681,131394.56
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,13194.865833333335,554184.365,0.2813704605325702,0.04923983059319978,0.23736490551954917,155931.11
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,10543.121666666668,442811.11000000004,0.2471056564050527,0.04324348987088423,0.1409229257009629,54710.565
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,9975.684166666668,418978.73500000004,0.267425672570232,0.0467994926997906,0.10954027685373405,112045.67
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,9801.9,411679.8,0.33483255675891793,0.058595697432810644,0.27293756716660944,137843.8
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,7573.177500000001,318073.455,0.3250550411382176,0.05688463219918808,0.33276372018303985,103391.38
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,16174.926666666666,679346.9199999999,0.15274849556983347,0.026730986724720854,0.10766202650654812,51884.61
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,16504.93,693207.06,0.16786235558535711,0.0293759122274375,0.16971693488929293,58181.685
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,7202.047500000001,302485.995,0.48283547805246324,0.08449620865918107,0.362926778740766,73025.485
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,9748.1825,409423.66500000004,0.0,0.0,0.0450909090909091,0.0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,13670.078333333333,574143.29,0.21869448304446787,0.038271534532781884,0.21890798709135675,125561.97
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,3334.5633333333335,140051.66,0.7032813463260628,0.12307423560706099,0.42899758367084617,98495.72
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,9450.874166666666,396936.715,0.3154455490467794,0.055202971083186406,0.27919455603898974,125211.92
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,7258.964166666668,304876.495,0.4193973694167535,0.07339453964793186,0.2889284818103147,127864.4
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,3801.1458333333335,159648.125,0.4753466412461781,0.08318566221808116,0.2584687819483687,75888.2
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,136.92583333333332,5750.884999999999,0.0,0.0,0.24654545454545454,0.0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,3897.94,163713.47999999998,0.24851905902922597,0.04349083533011454,0.2592393319441658,40685.92
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,7042.464166666668,295783.495,0.46269316007642686,0.0809713030133747,0.241644793472395,136857.0
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,10541.235,442731.87,0.34406576603577244,0.060211509056260167,0.23982863707306434,76164.44
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,14899.844166666668,625793.4550000001,0.08962172670853516,0.015683802173993656,0.24613711321021323,28042.345
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,8283.196666666667,347894.26,0.22623874277201356,0.03959177998510237,0.20047642955440753,78707.16
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,7736.7225,324942.345,0.3359561216929114,0.058792321296259505,0.2980608965331149,109166.37
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,2313.1966666666667,97154.26000000001,1.5,0.30591047165610646,0.6137731414968318,84915.73
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,9202.625833333334,386510.285,0.2629504154074451,0.046016322696302896,0.28832638506748803,101633.04
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,16389.44,688356.48,0.17894799217986587,0.03131589863147653,0.14671553087976635,61590.005
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,9471.404166666667,397798.97500000003,0.3788987389924773,0.06630727932368352,0.2710163509493937,75362.765
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,1516.9166666666667,63710.5,1.5,0.27021166840630667,0.6583362277946193,98373.26
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,2364.4883333333332,99308.51000000001,1.346767160236318,0.2356842530413557,0.5561899694378475,33436.36
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,2829.4891666666667,118838.54500000001,0.0,0.0,0.02690909090909091,0.0
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3683.629166666667,154712.42500000002,1.0574921826737573,0.18506113196790755,0.5131296307561358,163607.18
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,4868.900833333333,204493.835,0.7715677100974707,0.13502434926705736,0.4508867087184493,78890.42
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,12130.199999999999,509468.39999999997,0.0,0.0,0.24072727272727273,0.0
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,1865.6666666666667,78358.0,1.5,0.39913835536894765,0.6533778702470479,89359.095
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,11596.803333333335,487065.74000000005,0.0,0.0,0.1352727272727273,0.0
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,12350.886666666667,518737.24000000005,0.0,0.0,0.1250909090909091,0.0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,16186.635833333334,679838.7050000001,0.11363463043781832,0.01988606032661821,0.10769257086569461,77253.22
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,8191.800833333334,344055.635,0.3551450625129276,0.062150385939762326,0.44082499817217063,61094.83
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,14284.471666666666,599947.81,0.16108991213752408,0.028190734624066717,0.1913296485739318,48322.77
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,11371.515833333333,477603.66500000004,0.0,0.0,0.05309090909090909,0.0
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,2168.2991666666667,91068.565,0.0,0.0,0.2232727272727273,0.0
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,13269.6075,557323.515,0.162038057913275,0.02835666013482313,0.3073002335962477,90307.62
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,158.97166666666666,6676.81,0.0,0.0,0.2596363636363636,0.0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,9556.3125,401365.125,0.0,0.0,0.144,0.0
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,10720.279166666667,450251.72500000003,0.2702528679928989,0.0472942518987573,0.16799140869476958,121681.82
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,12655.779166666667,531542.725,0.0,0.0,0.08800000000000001,0.0
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,7770.951666666667,326379.97,0.0,0.0,0.14836363636363636,0.0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,13065.946666666665,548769.76,0.14873937295670228,0.026029390267422903,0.20879426533087395,40811.835
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,14517.101666666667,609718.27,0.0,0.0,0.14763636363636365,0.0
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,12261.038333333332,514963.61,0.2303590927522044,0.040312841231635775,0.1117470347406066,59313.275
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,9134.5475,383650.995,0.0,0.0,0.23709090909090913,0.0
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,14357.550833333333,603017.135,0.0,0.0,0.05890909090909091,0.0
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,7165.205833333333,300938.645,0.0,0.0,0.08727272727272728,0.0
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,10106.481666666667,424472.23,0.41527793231609056,0.07267363815531584,0.3900218347777855,176273.95
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,5382.9375,226083.375,0.4548208818981051,0.07959365433216839,0.21632436086908205,102827.44
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,16439.6775,690466.4550000001,0.14060987220588433,0.02460672763602976,0.0757467981343924,48543.2
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,8303.753333333332,348757.63999999996,0.0,0.0,0.10181818181818181,0.0
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,544.515,22869.63,0.0,0.0,0.31781818181818183,0.0
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,13487.335833333333,566468.105,0.0,0.0,0.13454545454545455,0.0
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,13930.2025,585068.505,0.0,0.0,0.1650909090909091,0.0
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,3497.56,146897.52000000002,0.5628015367447999,0.09849026893034,0.2798420871570874,82674.15
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,5044.713333333333,211877.96,0.0,0.0,0.23418181818181819,0.0
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,14804.64,621794.88,0.0,0.0,0.13090909090909092,0.0
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,2582.0491666666667,108446.065,0.9873412188814781,0.17278471330425868,0.5138559614739028,53536.635
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,837.8775,35190.855,1.5,0.44228133985377727,0.7775934928652241,88938.62
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,3081.3766666666666,129417.81999999999,0.7711986649133791,0.13495976635984136,0.3191202566546934,99806.85
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,5988.565833333333,251519.76499999998,0.5967435600935775,0.10443012301637607,0.3885339231148043,150092.8
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,8287.488333333333,348074.51,0.2667069473142403,0.046673715779992055,0.3638323807464515,92833.89
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,5256.906666666667,220790.08,0.41005832327249486,0.0717602065726866,0.2645455589535544,90536.81
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,2269.2716666666665,95309.40999999999,1.1337296076011805,0.19840268133020658,0.626548777588507,54027.55
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,7233.1175,303790.935,0.3299583313768069,0.05774270799094121,0.32576485726486987,100238.35
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,1916.1933333333334,80480.12,1.3194631171027082,0.23090604549297392,0.5923834760514319,106190.55
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,8441.745,354553.29000000004,0.43569061226311,0.07624585714604425,0.2473991226409281,77237.77
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,6180.760833333334,259591.95500000002,0.509843573542177,0.08922262536988097,0.3411744051281629,66175.645
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,9636.524166666666,404734.01499999996,0.41475238991217483,0.07258166823463058,0.278563853807678,167864.4
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,2647.1916666666666,111182.05,0.0,0.0,0.2501818181818182,0.0
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,16643.7825,699038.865,0.154238391308901,0.02699171847905767,0.29145994202729675,107818.63
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,10069.539999999999,422920.68,0.43784524795524304,0.07662291839216755,0.264158631722405,92586.905
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,3177.6474999999996,133461.19499999998,0.9698200289604781,0.1697185050680837,0.3578615602085685,64716.67
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,8344.245833333332,350458.325,0.3429606644384892,0.060018116276735624,0.24889363421456745,120193.42
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,11755.823333333334,493744.58,0.0,0.0,0.1410909090909091,0.0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,16510.78,693452.76,0.18225382793198486,0.03189441988809736,0.1849717470732974,126384.42
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,15303.8675,642762.435,0.0,0.0,0.16363636363636366,0.0
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,9188.77,385928.34,0.3954191340288718,0.06919834845505256,0.4433852447451774,152603.45
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,719.6708333333332,30226.174999999996,0.0,0.0,0.21890909090909091,0.0
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,3902.0066666666667,163884.28,0.9061713545679915,0.15857998704939852,0.48306176612158064,148507.24
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,14281.564166666665,599825.695,0.0,0.0,0.016,0.0
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,13938.029166666667,585397.225,0.17394525571931096,0.030440419750879417,0.11949752082287529,101827.07
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,10352.18,434791.56,0.0,0.0,0.0669090909090909,0.0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,9577.934166666668,402273.23500000004,0.32530732500759085,0.0569287818763284,0.15467083206517576,130862.43
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,2967.4066666666663,124631.07999999999,0.983469532639852,0.1721071682119741,0.4652184648010024,122570.87
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,1371.6141666666665,57607.795,0.0,0.0,0.11927272727272727,0.0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,10367.59,435438.78,0.28667281311049053,0.05016774229433585,0.14541580298508427,62414.23
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,2911.769166666667,122294.30500000001,1.184806193550877,0.2073410838714035,0.6074623650448658,72447.525
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,13982.023333333333,587244.98,0.10841119493264975,0.018971959113213706,0.32112403712285,63663.93
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,7763.778333333333,326078.69,0.40929721595728935,0.07162701279252565,0.2991863595340354,133463.1
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,6263.4375,263064.375,0.8102435002839135,0.14179261254968487,0.47906537930462495,213146.2
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,715.9025,30067.905,1.5,0.75365453629044,0.873187269978041,64745.18
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,15795.324999999999,663403.65,0.2071922426112669,0.03625864245697171,0.14139890188410795,137452.09
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,15035.603333333333,631495.34,0.0,0.0,0.136,0.0
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,16109.860833333332,676614.1549999999,0.18600250832765983,0.032550438957340465,0.18774770236731828,125851.93
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,13260.318333333335,556933.37,0.0,0.0,0.04145454545454546,0.0
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,10517.82,441748.44,0.09262183246193241,0.016208820680838173,0.14828555957919481,40915.55
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,4511.791666666667,189495.25,0.5971506937508988,0.10450137140640729,0.4759501650017373,113157.22
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,11756.292500000001,493764.28500000003,0.28008696497763097,0.04901521887108542,0.25509429151825125,69148.47
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,2041.2524999999998,85732.605,1.2476837721191372,0.21834466012084905,0.5852630751265413,106967.18
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,6236.361666666667,261927.19,0.4607449497702014,0.08063036620978524,0.24604895843035965,120681.63
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,73.23916666666666,3076.045,0.0,0.0,0.31563636363636366,0.0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,7460.0625,313322.625,0.0,0.0,0.06981818181818182,0.0
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,12491.065833333334,524624.765,0.0,0.0,0.22909090909090912,0.0
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,15066.701666666668,632801.4700000001,0.0,0.0,0.09745454545454546,0.0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,8220.518333333333,345261.77,0.3696024323805094,0.06468042566658916,0.35646667559594775,127609.59
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,9086.794166666667,381645.355,0.0,0.0,0.17163636363636364,0.0
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1495.0966666666666,62794.06,0.0,0.0,0.10472727272727274,0.0
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,6916.3725,290487.645,0.0,0.0,0.0669090909090909,0.0
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,7672.279166666667,322235.72500000003,0.0,0.0,0.192,0.0
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,8726.638333333334,366518.81,0.2653595050142174,0.046437913377488045,0.24190286188114798,97259.25
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,9390.630833333335,394406.495,0.31248648681609564,0.05468513519281674,0.26942421387540105,123246.7
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,7058.296666666666,296448.45999999996,0.3409032720223948,0.059658072603919095,0.21689567611516689,101060.25
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,6956.151666666668,292158.37,0.0,0.0,0.12072727272727274,0.0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,3927.0925,164937.885,0.6548365768119313,0.11459640094208799,0.26719352968984217,108007.36
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,8914.816666666668,374422.3,0.0,0.0,0.09381818181818183,0.0
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,4631.878333333333,194538.89,0.6872810367119911,0.12027418142459848,0.36372111089552234,133702.89
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,11656.2025,489560.505,0.2557186470750944,0.044750763238141526,0.22832264127578897,62594.875
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,13541.956666666667,568762.18,0.1987372296800747,0.03477901519401308,0.1762366916440445,113034.22
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,16374.996666666666,687749.86,0.158507091517256,0.0277387410155198,0.22678284066892362,109013.23
